país,año,ln_pib,Erogaciones.totales_pib,Servicios.públicos.generales_pib,Defensa_pib,Orden.público.y.seguridad_pib,Asuntos.económicos_pib,Protección.del.medio.ambiente_pib,Vivienda.y.servicios.comunitarios_pib,Salud_pib,Actividades.recreativas..cultura.y.religión_pib,Educación_pib,Protección.social_pib,Consumo.final.de.los.hogares_pib,Formación.bruta.de.capital.fijo_pib,Exportaciones_pib,Importaciones_pib,Comercio_pib,Control.de.Corrupción,Efectividad.Gubernamental,Estabilidad.Política.y.Ausencia.de.Violencia,Estado.de.Derecho,Calidad.Regulatoria,Voz.y.Rendición.de.Cuentas,Gasto_Seguridad_Admin_pib,Gasto_Desarrollo_Social_pib,Gasto_Economico_Ambiental_pib,PC1,PC2,PC3,dummy_2000,dummy_2001,dummy_2002,dummy_2003,dummy_2004,dummy_2005,dummy_2006,dummy_2007,dummy_2008,dummy_2009,dummy_2010,dummy_2011,dummy_2012,dummy_2013,dummy_2014,dummy_2015,dummy_2016,dummy_2017,dummy_2018,dummy_2019,dummy_2020,dummy_2021,dummy_2022
Indonesia,2010,36.46508614793398,0.16092199610756383,0.08973893586066972,0.0024906131263684266,0.0026004740496654998,0.013162463297805224,0.0022062509248254526,0.011535513494049235,0.008185709569064155,7.126041888669088e-4,0.028988365624786617,0.0013011650371406696,0.5621717579722777,0.30999408825566044,0.24299030936640784,0.22402242939232925,0.018967879974078592,-0.8035345077514648,-0.26694101095199585,-0.8539161682128906,-0.6560449004173279,-0.3808605968952179,-0.037748463451862335,0.09483002303670365,0.03847524023099144,0.02761683190554682,-0.4645350261681008,0.33814887694305545,-0.1994389135033181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,2011,36.524955512452685,0.18794711090989968,0.09682962592818002,0.007540868572278857,0.003822117717663506,0.01898942445706634,0.002527225806703033,0.012324175991627901,0.008373113841193453,0.0011693655965467975,0.03486096511992031,0.0015109565101316198,0.5956123277081058,0.3364485072023706,0.26267339988429445,0.24271547642458177,0.019957923459712645,-0.7558706998825073,-0.32159194350242615,-0.7701141834259033,-0.5996439456939697,-0.3101886212825775,-0.008531013503670692,0.10819261221812239,0.044745035471245385,0.035010191851944074,-0.3435045807023933,0.3643152084993253,-0.21370795937930365,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Indonesia,2012,36.583507877126,0.2054151505599124,0.10860022553917303,0.00791390448820573,0.004457826869061618,0.020806686258880033,0.0026901353232449904,0.014069603545368748,0.008971923352089095,0.0012812712750065569,0.034855065754822834,0.001768765689781477,0.6287405733599071,0.36482412854270474,0.2517202937063032,0.2472212893437387,0.004499004362564535,-0.6891058087348938,-0.3304796814918518,-0.593262791633606,-0.5835690498352051,-0.22185291349887848,0.0676126480102539,0.12097195689644039,0.04559575479669341,0.038847696402500326,-0.271318742274238,0.39420515848236215,-0.2269318971787495,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Indonesia,2013,36.63759128058133,0.21833512907954195,0.11173852091273782,0.010686731258604643,0.005216969469421055,0.020552448380480162,0.00314051454780016,0.017158222000623845,0.00974085961256558,0.0012587878096405544,0.03558990722709445,0.0032516284133614305,0.6651159310347635,0.3741184300541588,0.24840485839970433,0.23856652349448312,0.00983833490522121,-0.6602917909622192,-0.24426235258579254,-0.5192646384239197,-0.5335165858268738,-0.12326587736606598,0.03604304790496826,0.12764222164076353,0.04858239525302146,0.04210997273854472,-0.18412834005066353,0.4432756101767549,-0.22782929089284346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Indonesia,2014,36.68644495155088,0.22842483441945494,0.12098307841548986,0.010016698464727167,0.005740322317258823,0.01933277407862628,0.002787649952003549,0.017868531945999952,0.010070267509787251,0.0012352961339780705,0.037597691466535625,0.002792524135048233,0.7051407238689859,0.40128164324531335,0.23910321042860141,0.2320075737592924,0.007095636669309012,-0.5980058312416077,-0.06669076532125473,-0.4168240427970886,-0.3109184503555298,-0.008358750492334366,0.15384390950202942,0.13674009919747585,0.05046048311137111,0.04122425211060785,-0.16751271501822326,0.41783779422477996,-0.2700508073006481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Indonesia,2015,36.73405653861605,0.22864776149043456,0.10906315518284647,0.01177853313171583,0.007495318441861135,0.02735667520414395,0.0027218346966361023,0.016015483080360292,0.01097689016269746,0.0014901807966369472,0.03821588981010022,0.003533800983435868,0.7371965099342244,0.42104143124628174,0.2231520366522542,0.2073960929063191,0.01575594374593509,-0.5190843939781189,-0.32581812143325806,-0.6199563145637512,-0.4245494604110718,-0.15822747349739075,0.18487709760665894,0.12833700675642343,0.052726580956233546,0.04758417377777729,-0.1518384929899541,0.3944864104436908,-0.23135081827581408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Indonesia,2016,36.78316159779896,0.22262671959416694,0.04974168955591682,0.014226124283674412,0.017212648295124207,0.030251671182342458,0.0033889216938206078,0.019418063160207815,0.02014649982606293,0.0022485308082896326,0.04692700617579306,0.019065564612934537,0.7601289563363837,0.42823183530420017,0.208930939151158,0.19270881438772045,0.016222124763437578,-0.4631515145301819,-0.050782252103090286,-0.3796997368335724,-0.33899450302124023,-0.03137579932808876,0.1679326742887497,0.08118046213471544,0.08613907061479054,0.055307186844660516,0.07272542170002125,0.2957835596507742,0.04769986986314323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Indonesia,2017,36.832616168833155,0.22720151556224744,0.06688947193925274,0.011853875730955317,0.0147908362835656,0.03820010041905853,0.0026602474033581157,0.018649427915652692,0.01901718054766553,0.0021744574835421537,0.03660325496367669,0.016362662875519796,0.7852019562073702,0.44089644568893827,0.21654192335285877,0.19820774941436325,0.01833417393849553,-0.3052789270877838,-0.019734269008040428,-0.5049387216567993,-0.35139745473861694,0.027927501127123833,0.13147038221359253,0.09353418395377365,0.07198309838686201,0.06168423322161149,0.003833976506699227,0.3064651841540791,-0.003660078135452001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Indonesia,2018,36.88306487628328,0.233392669021108,0.06258512202070365,0.010246869422643247,0.015185278989967717,0.0443258818617549,0.0030217580409459873,0.017997997038399806,0.01992738380646324,0.0027612938940870433,0.03919995511934952,0.01814112882679285,0.8109752337763191,0.45955106068486357,0.21930053438587593,0.21132756933743707,0.007972965048438871,-0.29960429668426514,0.14137987792491913,-0.5520340204238892,-0.31440138816833496,-0.021816467866301537,0.16221098601818085,0.08801727043331461,0.07726846775260561,0.06810693083518773,0.06537671935871439,0.32269625338592267,0.07923711278257364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Indonesia,2019,36.93203871577825,0.23703219192988073,0.06725905133009556,0.010541867841179513,0.015078160323394716,0.04006968187732982,0.003289609454359932,0.01710652204539877,0.021397767705119884,0.0022974771685353923,0.04109691119819168,0.01889514298627518,0.8376839615138177,0.4677412237636978,0.20782317679308854,0.18688603161221,0.020937145180878518,-0.47349852323532104,0.13870000839233398,-0.5021430253982544,-0.34765389561653137,0.028951389715075493,0.13138623535633087,0.0928790794946698,0.08138982188958674,0.06276329054562392,0.07258439794271673,0.2961190054137993,0.07806392451651853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
